trip_id,vehicle_id,driver_id,driver_name,trip_date,trip_month,trip_quarter,route_name,route_category,distance_km,fuel_consumed_l,fuel_efficiency_kml,fuel_cost_inr,road_difficulty,difficulty_tier,traffic_level,weather,delay_minutes,delivery_status,expected_duration_h,actual_duration_h,total_maint_cost_inr,maint_count,avg_downtime_h,toll_cost_inr,labour_cost_inr,total_trip_cost_inr,cost_per_km,driver_perf_score,safety_rating,experience_years,vehicle_type,fuel_type,year_mfg,base_km_per_l,capacity_kg,customer_location,avg_speed_kmph
T0011,V007,D004,Driver_4,2023-01-07 16:00:00,1,1,Route_Mixed,Mixed,389.9,39.32,9.916073245167853,3681.35,7.1,Hard,Low,Clear,0,On Time,6.5,6.5,14838.89,1,17.9,1375.4814498318005,1355.8235738278538,21251.54502365965,54.51,74.45,3.0,8,Sedan,Electric,2021,9.52,1275,South Zone,95.9
T0012,V020,D008,Driver_8,2023-01-08 08:00:00,1,1,Route_City_B,City,388.2,28.4,13.669014084507042,2819.24,3.8,Moderate,Low,Hot,53,Major Delay,6.47,7.35,18395.2,1,26.0,0.0,1851.76700087043,23066.207000870432,59.42,74.66,4.1,5,SUV,Diesel,2021,14.03,4797,Central,91.3
T0013,V009,D004,Driver_4,2023-01-09 00:00:00,1,1,Route_Highway_1,Highway,304.9,93.54439999999995,3.259414780574787,6670.4,8.0,Hard,Very High,Rain,0,On Time,5.08,5.08,69521.94,3,20.133333333333333,779.8824986401071,1289.2525733655098,31913.515072005615,104.67,59.38,3.0,8,Sedan,Diesel,2023,8.39,3652,East Zone,37.2
T0014,V001,D024,Driver_24,2023-01-09 16:00:00,1,1,Route_Mixed,Mixed,69.4,8.06,8.610421836228287,855.14,8.0,Hard,Medium,Clear,11,Minor Delay,1.16,1.34,34132.28,2,36.45,154.31623230711952,350.7074096367787,18426.303641943898,265.51,70.86,3.5,4,SUV,Petrol,2023,9.31,8013,Central,57.5
T0015,V008,D025,Driver_25,2023-01-10 08:00:00,1,1,Route_Mixed,Mixed,308.1,93.54439999999995,3.2936231351101743,10119.31,5.7,Moderate,Very High,Hot,77,Major Delay,5.14,6.42,21444.72,2,21.549999999999997,820.052908094972,1390.9701283119336,23052.693036406905,74.82,49.01,5.0,5,Sedan,Diesel,2018,6.17,8726,Central,68.7
T0016,V007,D003,Driver_3,2023-01-11 00:00:00,1,1,Route_Highway_2,Highway,29.3,3.13,9.361022364217252,322.71,9.8,Hard,Medium,Clear,13,Minor Delay,0.49,0.71,14838.89,1,17.9,111.37537673718344,150.85521150603316,15423.830588243216,526.41,75.28,4.3,12,Sedan,Electric,2021,9.52,1275,East Zone,65.2
T0017,V018,D003,Driver_3,2023-01-11 16:00:00,1,1,Route_Highway_2,Highway,28.4,4.05,7.012345679012346,375.4,2.1,Easy,Medium,Clear,26,Minor Delay,0.47,0.91,61824.66,4,15.649999999999999,86.71153597328765,177.55664585612013,16095.833181829408,566.75,66.85,4.3,12,Bus,Electric,2021,7.14,6175,South Zone,43.6
T0018,V008,D018,Driver_18,2023-01-12 08:00:00,1,1,Route_Rural_X,Rural,143.0,27.64,5.173661360347323,2590.44,1.2,Easy,Medium,Clear,0,On Time,2.38,2.38,21444.72,2,21.549999999999997,0.0,631.6945057687518,13944.494505768753,97.51,65.71,3.5,15,Sedan,Diesel,2018,6.17,8726,North Zone,90.1
T0019,V001,D019,Driver_19,2023-01-13 00:00:00,1,1,Route_Rural_X,Rural,205.7,23.53,8.74203144921377,2137.99,7.9,Hard,Medium,Fog,37,Major Delay,3.43,4.04,34132.28,2,36.45,0.0,806.863123465062,20010.99312346506,97.28,64.93,3.5,10,SUV,Petrol,2023,9.31,8013,North Zone,77.4
T0020,V011,D019,Driver_19,2023-01-13 16:00:00,1,1,Route_Rural_Y,Rural,312.8,19.95,15.67919799498747,1713.5,8.3,Hard,Low,Hot,6,Minor Delay,5.21,5.31,16252.189999999999,2,29.549999999999997,0.0,1314.5796587152893,11154.174658715288,35.66,88.07,3.5,10,SUV,Diesel,2014,15.48,4443,East Zone,88.7
T0021,V018,D021,Driver_21,2023-01-14 08:00:00,1,1,Route_Rural_Y,Rural,279.7,50.75,5.511330049261083,5265.64,2.1,Easy,High,Clear,34,Major Delay,4.66,5.23,61824.66,4,15.649999999999999,0.0,1346.6150885006937,22068.420088500694,78.9,61.94,4.4,19,Bus,Electric,2021,7.14,6175,East Zone,90.1
T0022,V010,D005,Driver_5,2023-01-15 00:00:00,1,1,Route_City_A,City,189.4,13.98,13.547925608011445,1325.24,3.4,Moderate,Medium,Hot,21,Minor Delay,3.16,3.51,55975.82,4,22.625,0.0,624.4951171363201,15943.69011713632,84.18,80.45,3.7,3,Bus,Petrol,2017,14.54,2085,West Zone,82.4
T0023,V003,D018,Driver_18,2023-01-15 16:00:00,1,1,Route_City_B,City,124.0,16.96,7.311320754716981,1732.68,1.2,Easy,High,Clear,35,Major Delay,2.07,2.65,46267.04,3,3.8333333333333335,0.0,718.8639642916229,17873.89063095829,144.14,62.17,3.5,15,Sedan,Diesel,2023,7.98,7541,North Zone,60.7
T0024,V007,D010,Driver_10,2023-01-16 08:00:00,1,1,Route_Rural_X,Rural,398.9,52.81,7.5534936565044495,5160.72,3.6,Moderate,High,Hot,53,Major Delay,6.65,7.53,14838.89,1,17.9,0.0,1258.1799206877204,21257.78992068772,53.29,62.01,4.4,14,Sedan,Electric,2021,9.52,1275,Central,72.7
T0025,V016,D022,Driver_22,2023-01-17 00:00:00,1,1,Route_Highway_2,Highway,181.9,11.7,15.547008547008549,1003.78,8.0,Hard,Medium,Fog,29,Minor Delay,3.03,3.52,35493.38,2,22.25,628.6872530967065,875.856945882727,20255.014198979432,111.35,81.46,3.3,7,Van,Petrol,2019,16.2,8489,North Zone,41.2
T0026,V016,D021,Driver_21,2023-01-17 16:00:00,1,1,Route_Highway_1,Highway,191.5,25.32249647382482,7.562445519459283,1251.84,5.7,Moderate,Low,Storm,0,On Time,3.19,3.19,35493.38,2,22.25,691.0518080349927,497.2478857585269,20186.82969379352,105.41,74.72,4.4,19,Van,Petrol,2019,16.2,8489,Central,77.2
T0027,V020,D006,Driver_6,2023-01-18 08:00:00,1,1,Route_Highway_2,Highway,82.2,6.72,12.232142857142858,665.69,4.1,Moderate,High,Clear,33,Major Delay,1.37,1.92,18395.2,1,26.0,126.47019054122217,470.6280038219575,19657.98819436318,239.15,74.19,3.6,1,SUV,Diesel,2021,14.03,4797,Central,42.5
T0028,V017,D001,Driver_1,2023-01-19 00:00:00,1,1,Route_City_B,City,322.0,29.03,11.091973820186015,2647.97,4.3,Moderate,Medium,Hot,27,Minor Delay,5.37,5.82,1503.97,1,34.1,0.0,979.469151002699,5131.409151002699,15.94,77.85,4.8,5,SUV,Diesel,2018,11.39,7373,North Zone,78.6
T0029,V002,D005,Driver_5,2023-01-19 16:00:00,1,1,Route_Rural_Y,Rural,283.6,31.72,8.940731399747794,3380.5,1.0,Easy,Low,Fog,35,Major Delay,4.73,5.31,10495.08,1,16.3,0.0,1578.738226342023,15454.318226342024,54.49,66.66,3.7,3,Bus,Diesel,2013,9.56,3112,North Zone,46.1
T0030,V001,D009,Driver_9,2023-01-20 08:00:00,1,1,Route_Highway_2,Highway,103.9,15.35,6.768729641693811,1575.82,3.7,Moderate,Very High,Clear,61,Major Delay,1.73,2.75,34132.28,2,36.45,285.9247396412667,549.9390779791983,19477.823817620465,187.47,56.72,4.0,15,SUV,Petrol,2023,9.31,8013,Central,38.2
T0031,V016,D012,Driver_12,2023-01-21 00:00:00,1,1,Route_City_A,City,51.3,3.21,15.981308411214952,349.41,6.8,Hard,Low,Clear,55,Major Delay,0.85,1.77,35493.38,2,22.25,0.0,468.2390798664842,18564.339079866484,361.88,77.01,3.5,1,Van,Petrol,2019,16.2,8489,West Zone,41.6
T0032,V012,D014,Driver_14,2023-01-21 16:00:00,1,1,Route_City_B,City,278.6,22.84,12.197898423817865,1951.84,9.8,Hard,High,Clear,37,Major Delay,4.64,5.26,60915.99,5,25.1,0.0,1484.0258092893514,15619.063809289351,56.06,72.36,3.4,14,Sedan,Electric,2022,13.27,8055,East Zone,30.1
T0033,V005,D002,Driver_2,2023-01-22 08:00:00,1,1,Route_Rural_Y,Rural,268.7,36.36,7.38998899889989,3152.58,8.6,Hard,Very High,Hot,97,Major Delay,4.48,6.1,14482.130000000001,3,22.599999999999998,0.0,1520.9888592914613,9500.945525958128,35.36,47.5,3.5,3,Bus,Diesel,2023,11.08,5986,West Zone,80.3
T0034,V005,D017,Driver_17,2023-01-23 00:00:00,1,1,Route_Highway_1,Highway,123.8,12.14,10.197693574958814,1161.85,1.2,Easy,Medium,Clear,20,Minor Delay,2.06,2.4,14482.130000000001,3,22.599999999999998,345.0270244720226,448.7186275031094,6782.9723186418,54.79,70.7,3.1,15,Bus,Diesel,2023,11.08,5986,North Zone,81.3
T0035,V009,D014,Driver_14,2023-01-23 16:00:00,1,1,Route_Rural_Y,Rural,381.3,50.43,7.560975609756098,4761.68,9.1,Hard,Low,Fog,0,On Time,6.36,6.36,69521.94,3,20.133333333333333,0.0,975.0816416587413,28910.74164165874,75.82,70.72,3.4,14,Sedan,Diesel,2023,8.39,3652,South Zone,66.0
T0036,V009,D013,Driver_13,2023-01-24 08:00:00,1,1,Route_Mixed,Mixed,77.4,11.45,6.759825327510918,1253.06,8.0,Hard,Low,Rain,24,Minor Delay,1.29,1.69,69521.94,3,20.133333333333333,256.4308844712529,427.9432569224951,25111.414141393747,324.44,62.76,3.3,5,Sedan,Diesel,2023,8.39,3652,East Zone,41.3
T0037,V003,D009,Driver_9,2023-01-25 00:00:00,1,1,Route_City_A,City,184.3,28.61,6.441803565186998,2508.24,8.0,Hard,Medium,Clear,17,Minor Delay,3.07,3.35,46267.04,3,3.8333333333333335,0.0,755.3068320609309,18685.893498727597,101.39,66.51,4.0,15,Sedan,Diesel,2023,7.98,7541,East Zone,35.8
T0038,V019,D025,Driver_25,2023-01-25 16:00:00,1,1,Route_City_B,City,378.6,36.38,10.406816932380428,3400.91,5.1,Moderate,Low,Clear,0,On Time,6.31,6.31,68962.6,4,20.1,0.0,1199.3876367365092,21840.94763673651,57.69,83.56,5.0,5,Truck,Petrol,2021,10.45,661,West Zone,31.3
T0039,V016,D015,Driver_15,2023-01-26 08:00:00,1,1,Route_Highway_1,Highway,179.5,12.67,14.167324388318864,1178.44,4.6,Moderate,High,Clear,51,Major Delay,2.99,3.84,35493.38,2,22.25,442.7232856297861,693.6356180100895,20061.488903639874,111.76,76.26,4.1,7,Van,Petrol,2019,16.2,8489,North Zone,41.6
T0040,V016,D025,Driver_25,2023-01-27 00:00:00,1,1,Route_City_A,City,262.6,16.76,15.668257756563246,1778.37,3.7,Moderate,Low,Clear,12,Minor Delay,4.38,4.58,35493.38,2,22.25,0.0,1226.1940752273088,20751.254075227305,79.02,92.6,5.0,5,Van,Petrol,2019,16.2,8489,East Zone,92.4
T0041,V003,D022,Driver_22,2023-01-27 16:00:00,1,1,Route_Rural_Y,Rural,171.1,24.48,6.98937908496732,2280.48,1.6,Easy,Medium,Clear,21,Minor Delay,2.85,3.2,46267.04,3,3.8333333333333335,0.0,773.4567437732551,18476.283410439923,107.99,64.0,3.3,7,Sedan,Diesel,2023,7.98,7541,South Zone,46.9
T0042,V020,D015,Driver_15,2023-01-28 08:00:00,1,1,Route_City_A,City,124.2,11.58,10.72538860103627,1247.58,3.1,Moderate,Very High,Rain,82,Major Delay,2.07,3.44,18395.2,1,26.0,0.0,964.7390460214024,20607.519046021403,165.92,61.05,4.1,7,SUV,Diesel,2021,14.03,4797,West Zone,54.8
T0043,V001,D024,Driver_24,2023-01-29 00:00:00,1,1,Route_City_B,City,393.9,45.46,8.664760228772547,4022.08,3.2,Moderate,High,Clear,35,Major Delay,6.56,7.15,34132.28,2,36.45,0.0,1552.9590778379295,22641.17907783793,57.48,65.24,3.5,4,SUV,Petrol,2023,9.31,8013,South Zone,37.4
T0044,V020,D011,Driver_11,2023-01-29 16:00:00,1,1,Route_Rural_X,Rural,175.5,14.1,12.446808510638299,1499.51,5.4,Moderate,High,Clear,0,On Time,2.92,2.92,18395.2,1,26.0,0.0,525.4530463876499,20420.16304638765,116.35,82.18,3.5,3,SUV,Diesel,2021,14.03,4797,North Zone,45.6
T0045,V011,D016,Driver_16,2023-01-30 08:00:00,1,1,Route_City_A,City,359.8,49.42771405785891,7.279317015932128,2554.28,7.7,Hard,Medium,Fog,26,Minor Delay,6.0,6.43,16252.189999999999,2,29.549999999999997,0.0,1177.177354400188,11857.552354400188,32.96,65.46,3.8,9,SUV,Diesel,2014,15.48,4443,North Zone,66.3
T0046,V017,D017,Driver_17,2023-01-31 00:00:00,1,1,Route_Mixed,Mixed,107.4,10.82,9.926062846580407,923.59,5.3,Moderate,High,Clear,36,Major Delay,1.79,2.39,1503.97,1,34.1,171.91062296161311,393.6387310553614,2993.1093540169745,27.87,66.25,3.1,15,SUV,Diesel,2018,11.39,7373,East Zone,72.5
T0047,V008,D004,Driver_4,2023-01-31 16:00:00,1,1,Route_City_A,City,101.0,19.1,5.287958115183246,1759.2,1.5,Easy,Medium,Hot,20,Minor Delay,1.68,2.02,21444.72,2,21.549999999999997,0.0,433.019193389929,12914.579193389929,127.87,59.18,3.0,8,Sedan,Diesel,2018,6.17,8726,East Zone,47.2
T0048,V004,D001,Driver_1,2023-02-01 08:00:00,2,1,Route_Rural_Y,Rural,31.8,5.79,5.492227979274611,619.3,9.6,Hard,Medium,Hot,26,Minor Delay,0.53,0.96,17174.29,1,6.7,0.0,216.75956782887732,18010.34956782888,566.36,65.41,4.8,5,Bus,Petrol,2017,6.19,6735,West Zone,34.0
T0049,V006,D008,Driver_8,2023-02-02 00:00:00,2,1,Route_Rural_Y,Rural,267.6,23.88,11.20603015075377,2125.25,9.5,Hard,Low,Clear,0,On Time,4.46,4.46,19346.64,1,29.0,0.0,1124.751036498539,22596.64103649854,84.44,81.77,4.1,5,Van,Diesel,2016,10.74,7599,West Zone,57.4
T0050,V008,D017,Driver_17,2023-02-02 16:00:00,2,1,Route_Highway_1,Highway,160.0,53.33,3.0001875117194827,5467.57,8.1,Hard,High,Rain,62,Major Delay,2.67,3.7,21444.72,2,21.549999999999997,425.1267245243625,800.12043974569,17415.177164270055,108.84,44.34,3.1,15,Sedan,Diesel,2018,6.17,8726,East Zone,46.4
T0051,V020,D003,Driver_3,2023-02-03 08:00:00,2,1,Route_Rural_Y,Rural,348.5,26.31,13.245914101102244,2760.21,9.9,Hard,Medium,Hot,40,Major Delay,5.81,6.48,18395.2,1,26.0,0.0,1296.2335145992822,22451.643514599284,64.42,77.61,4.3,12,SUV,Diesel,2021,14.03,4797,Central,45.4
T0052,V003,D020,Driver_20,2023-02-04 00:00:00,2,1,Route_Highway_2,Highway,199.8,28.56,6.995798319327732,2888.51,5.9,Moderate,Low,Clear,11,Minor Delay,3.33,3.51,46267.04,3,3.8333333333333335,651.8806481469138,742.6620127732743,19705.399327586856,98.63,70.81,4.4,13,Sedan,Diesel,2023,7.98,7541,North Zone,97.2
T0053,V016,D015,Driver_15,2023-02-04 16:00:00,2,1,Route_City_B,City,387.9,24.9,15.578313253012048,2610.22,9.7,Hard,Medium,Clear,45,Major Delay,6.46,7.21,35493.38,2,22.25,0.0,1590.6078402369685,21947.517840236967,56.58,80.9,4.1,7,Van,Petrol,2019,16.2,8489,North Zone,73.1
T0054,V003,D015,Driver_15,2023-02-05 08:00:00,2,1,Route_City_B,City,90.5,12.91,7.010069713400465,1230.81,1.7,Easy,Medium,Clear,17,Minor Delay,1.51,1.79,46267.04,3,3.8333333333333335,0.0,287.1436124355695,16940.300279102237,187.19,68.2,4.1,7,Sedan,Diesel,2023,7.98,7541,East Zone,69.0
T0055,V018,D024,Driver_24,2023-02-06 00:00:00,2,1,Route_Rural_X,Rural,350.1,62.62,5.59086553816672,6657.96,4.3,Moderate,High,Fog,58,Major Delay,5.83,6.8,61824.66,4,15.649999999999999,0.0,1239.3611822713506,23353.48618227135,66.71,52.77,3.5,4,Bus,Electric,2021,7.14,6175,East Zone,59.1
T0056,V014,D022,Driver_22,2023-02-06 16:00:00,2,1,Route_Rural_X,Rural,315.1,24.54,12.840260798696008,2667.36,3.0,Easy,High,Clear,37,Major Delay,5.25,5.87,60260.29,5,25.580000000000002,0.0,1651.0676358580808,16370.485635858082,51.95,73.41,3.3,7,Van,CNG,2014,13.81,1521,South Zone,60.0
T0057,V018,D014,Driver_14,2023-02-07 08:00:00,2,1,Route_City_B,City,313.0,57.05,5.486415425065732,5573.99,2.8,Easy,High,Rain,53,Major Delay,5.22,6.1,61824.66,4,15.649999999999999,0.0,1187.1881014590688,22217.343101459068,70.98,53.33,3.4,14,Bus,Electric,2021,7.14,6175,South Zone,67.9
T0058,V002,D023,Driver_23,2023-02-08 00:00:00,2,1,Route_Mixed,Mixed,341.0,36.8,9.266304347826088,3479.09,2.3,Easy,Low,Hot,6,Minor Delay,5.68,5.78,10495.08,1,16.3,1017.6104223147263,1243.332790246486,16235.113212561213,47.61,79.54,5.0,17,Bus,Diesel,2013,9.56,3112,West Zone,78.8
T0059,V003,D014,Driver_14,2023-02-08 16:00:00,2,1,Route_Rural_X,Rural,309.2,38.82,7.964966512107161,3909.72,6.6,Hard,Medium,Hot,22,Minor Delay,5.15,5.52,46267.04,3,3.8333333333333335,0.0,917.8639009535574,20249.930567620224,65.49,66.37,3.4,14,Sedan,Diesel,2023,7.98,7541,West Zone,79.2
T0060,V016,D024,Driver_24,2023-02-09 08:00:00,2,1,Route_Highway_1,Highway,258.0,17.39,14.836112708453134,1541.63,8.0,Hard,Medium,Rain,38,Major Delay,4.3,4.93,35493.38,2,22.25,599.043236890187,1094.607516736936,20981.970753627123,81.33,78.49,3.5,4,Van,Petrol,2019,16.2,8489,South Zone,42.0
T0061,V009,D002,Driver_2,2023-02-10 00:00:00,2,1,Route_Rural_Y,Rural,69.9,7.58,9.221635883905014,800.82,6.2,Hard,Low,Clear,19,Minor Delay,1.17,1.48,69521.94,3,20.133333333333333,0.0,308.64559683419714,24283.445596834197,347.4,70.33,3.5,3,Sedan,Diesel,2023,8.39,3652,North Zone,65.0
T0062,V004,D013,Driver_13,2023-02-10 16:00:00,2,1,Route_City_B,City,32.4,8.54,3.7939110070257613,898.47,2.3,Easy,Medium,Storm,94,Major Delay,0.54,2.11,17174.29,1,6.7,0.0,489.0755276783506,18561.83552767835,572.9,39.28,3.3,5,Bus,Petrol,2017,6.19,6735,Central,58.8
T0063,V001,D014,Driver_14,2023-02-11 08:00:00,2,1,Route_Rural_X,Rural,369.9,51.85,7.13404050144648,5277.56,8.3,Hard,High,Rain,83,Major Delay,6.17,7.55,34132.28,2,36.45,0.0,1174.1562830106175,23517.856283010617,63.58,49.87,3.4,14,SUV,Petrol,2023,9.31,8013,West Zone,90.9
T0064,V004,D024,Driver_24,2023-02-12 00:00:00,2,1,Route_City_B,City,254.3,37.22,6.8323481998925315,3494.92,6.7,Hard,Low,Clear,0,On Time,4.24,4.24,17174.29,1,6.7,0.0,993.1483174811286,21662.35831748113,85.18,69.47,3.5,4,Bus,Petrol,2017,6.19,6735,North Zone,74.2
T0065,V001,D019,Driver_19,2023-02-12 16:00:00,2,1,Route_Highway_2,Highway,322.7,35.54,9.079909960607766,3511.3,4.5,Moderate,Medium,Clear,25,Minor Delay,5.38,5.79,34132.28,2,36.45,928.963434423367,1153.1687897477689,22659.572224171134,70.22,68.57,3.5,10,SUV,Petrol,2023,9.31,8013,East Zone,67.3
T0066,V014,D007,Driver_7,2023-02-13 08:00:00,2,1,Route_City_A,City,203.0,33.49540979661126,6.060531912660389,1441.44,7.1,Hard,Medium,Hot,0,On Time,3.38,3.38,60260.29,5,25.580000000000002,0.0,607.6820350950799,14101.18003509508,69.46,66.92,3.3,3,Van,CNG,2014,13.81,1521,Central,38.1
T0067,V016,D003,Driver_3,2023-02-14 00:00:00,2,1,Route_Rural_Y,Rural,64.6,4.3,15.023255813953488,434.6,3.3,Moderate,Low,Rain,34,Major Delay,1.08,1.64,35493.38,2,22.25,0.0,383.5466615965967,18564.836661596597,287.38,83.07,4.3,12,Van,Petrol,2019,16.2,8489,South Zone,72.4
T0068,V020,D015,Driver_15,2023-02-14 16:00:00,2,1,Route_City_B,City,67.6,6.14,11.009771986970684,602.65,4.1,Moderate,Medium,Storm,70,Major Delay,1.13,2.29,18395.2,1,26.0,0.0,349.4014839416294,19347.25148394163,286.2,64.56,4.1,7,SUV,Diesel,2021,14.03,4797,North Zone,38.2
T0069,V008,D023,Driver_23,2023-02-15 08:00:00,2,1,Route_City_A,City,280.5,93.5,3.0,9043.88,9.3,Hard,Very High,Hot,68,Major Delay,4.67,5.81,21444.72,2,21.549999999999997,0.0,1392.661039833689,21158.90103983369,75.43,50.51,5.0,17,Sedan,Diesel,2018,6.17,8726,East Zone,53.6
T0070,V007,D014,Driver_14,2023-02-16 00:00:00,2,1,Route_Rural_X,Rural,183.5,24.51,7.486740106079151,2372.88,3.6,Moderate,High,Rain,60,Major Delay,3.06,4.06,14838.89,1,17.9,0.0,1101.883990554069,18313.65399055407,99.8,56.18,3.4,14,Sedan,Electric,2021,9.52,1275,South Zone,40.0
T0071,V003,D011,Driver_11,2023-02-16 16:00:00,2,1,Route_City_A,City,96.2,19.93,4.826894129453086,1706.68,5.2,Moderate,Very High,Rain,86,Major Delay,1.6,3.04,46267.04,3,3.8333333333333335,0.0,557.3024686292928,17686.32913529596,183.85,44.33,3.5,3,Sedan,Diesel,2023,7.98,7541,West Zone,78.4
T0072,V017,D015,Driver_15,2023-02-17 08:00:00,2,1,Route_Rural_Y,Rural,206.8,20.01,10.334832583708145,1988.89,9.0,Hard,Medium,Clear,34,Major Delay,3.45,4.01,1503.97,1,34.1,0.0,800.061168827868,4292.921168827868,20.76,71.66,4.1,7,SUV,Diesel,2018,11.39,7373,West Zone,44.4
T0073,V001,D013,Driver_13,2023-02-18 00:00:00,2,1,Route_City_B,City,44.4,4.73,9.386892177589852,430.53,7.4,Hard,Low,Clear,16,Minor Delay,0.74,1.01,34132.28,2,36.45,0.0,190.22439899915776,17686.894398999157,398.35,70.62,3.3,5,SUV,Petrol,2023,9.31,8013,South Zone,57.4
T0074,V016,D018,Driver_18,2023-02-18 16:00:00,2,1,Route_Highway_2,Highway,241.1,15.64,15.415601023017901,1408.44,1.6,Easy,Medium,Clear,30,Major Delay,4.02,4.52,35493.38,2,22.25,904.6701869851789,1155.1986951720964,21214.998882157273,87.99,81.72,3.5,15,Van,Petrol,2019,16.2,8489,Central,92.7
T0075,V012,D006,Driver_6,2023-02-19 08:00:00,2,1,Route_Mixed,Mixed,122.2,10.18,12.00392927308448,1097.11,2.3,Easy,Medium,Fog,49,Major Delay,2.04,2.85,60915.99,5,25.1,356.460015779988,510.62449090417834,14147.392506684166,115.77,69.84,3.6,1,Sedan,Electric,2022,13.27,8055,West Zone,44.3
T0076,V019,D003,Driver_3,2023-02-20 00:00:00,2,1,Route_Rural_X,Rural,323.1,40.3,8.017369727047148,3825.75,1.1,Easy,High,Rain,53,Major Delay,5.39,6.27,68962.6,4,20.1,0.0,993.9119195639444,22060.311919563945,68.28,62.66,4.3,12,Truck,Petrol,2021,10.45,661,North Zone,65.5
T0077,V014,D019,Driver_19,2023-02-20 16:00:00,2,1,Route_City_B,City,137.9,10.41,13.24687800192123,913.86,6.7,Hard,Low,Hot,29,Minor Delay,2.3,2.78,60260.29,5,25.580000000000002,0.0,798.5222590065221,13764.440259006522,99.81,77.05,3.5,10,Van,CNG,2014,13.81,1521,East Zone,59.3
